,frame,training day,mice_id,trial_index,idm_id,num_stim,tailbase_x,speed_tailbase,out_runway
87,1688,day4,idm25_81A3,idm25_1,idm25,1.0,,,1.0
88,1689,day4,idm25_81A3,idm25_1,idm25,1.0,,,1.0
89,1690,day4,idm25_81A3,idm25_1,idm25,1.0,,,1.0
90,1691,day4,idm25_81A3,idm25_1,idm25,1.0,,,1.0
91,1692,day4,idm25_81A3,idm25_1,idm25,1.0,,,1.0
92,1693,day4,idm25_81A3,idm25_1,idm25,1.0,,,1.0
93,1694,day4,idm25_81A3,idm25_1,idm25,1.0,,,1.0
94,1695,day4,idm25_81A3,idm25_1,idm25,1.0,,,1.0
95,1696,day4,idm25_81A3,idm25_1,idm25,1.0,,,1.0
96,1697,day4,idm25_81A3,idm25_1,idm25,1.0,,,1.0
97,1698,day4,idm25_81A3,idm25_1,idm25,1.0,119.8205145474138,-8.40201252660164,0.0
98,1699,day4,idm25_81A3,idm25_1,idm25,1.0,119.71184930371354,-9.63819692589444,0.0
99,1700,day4,idm25_81A3,idm25_1,idm25,1.0,119.63751485134836,-10.927113626732169,0.0
100,1701,day4,idm25_81A3,idm25_1,idm25,1.0,119.54183482364888,-12.78169499059847,0.0
101,1702,day4,idm25_81A3,idm25_1,idm25,1.0,119.4685997596154,-15.104604107867951,0.0
102,1703,day4,idm25_81A3,idm25_1,idm25,1.0,119.39989543614612,-17.513434800101482,0.0
103,1704,day4,idm25_81A3,idm25_1,idm25,1.0,119.33971941312996,-20.07568627700997,0.0
104,1705,day4,idm25_81A3,idm25_1,idm25,1.0,119.08786844511565,-21.293608133353462,0.0
105,1706,day4,idm25_81A3,idm25_1,idm25,1.0,118.7082341804358,-22.51152998969696,0.0
106,1707,day4,idm25_81A3,idm25_1,idm25,1.0,118.2391516080902,-23.72945184604045,0.0
107,1708,day4,idm25_81A3,idm25_1,idm25,1.0,117.49346583844496,-24.94737370238396,0.0
108,1709,day4,idm25_81A3,idm25_1,idm25,1.0,116.604137956938,-26.165295558727447,0.0
109,1710,day4,idm25_81A3,idm25_1,idm25,1.0,115.56086872616876,-27.38321741507094,0.0
110,1711,day4,idm25_81A3,idm25_1,idm25,1.0,114.51784557878814,-23.06884590574968,0.0
111,1712,day4,idm25_81A3,idm25_1,idm25,1.0,113.45553208409316,-17.857640690533813,0.0
112,1713,day4,idm25_81A3,idm25_1,idm25,1.0,112.37905390003316,-12.684449357181055,0.0
113,1714,day4,idm25_81A3,idm25_1,idm25,1.0,111.2915719029758,-7.470486218328955,0.0
114,1715,day4,idm25_81A3,idm25_1,idm25,1.0,110.34684395895503,-2.222658277866868,0.0
115,1716,day4,idm25_81A3,idm25_1,idm25,1.0,109.54487006797083,3.0251696625952205,0.0
116,1717,day4,idm25_81A3,idm25_1,idm25,1.0,108.88565023002324,8.27299760305731,0.0
117,1718,day4,idm25_81A3,idm25_1,idm25,1.0,108.3756534161555,12.694308906355069,0.0
118,1719,day4,idm25_81A3,idm25_1,idm25,1.0,108.9200449166943,16.65280395217923,0.0
119,1720,day4,idm25_81A3,idm25_1,idm25,1.0,109.6112620710378,20.124900377302502,0.0
120,1721,day4,idm25_81A3,idm25_1,idm25,1.0,110.28832748777356,17.506069052814407,0.0
121,1722,day4,idm25_81A3,idm25_1,idm25,1.0,110.9552860007046,14.887237728326312,0.0
122,1723,day4,idm25_81A3,idm25_1,idm25,1.0,111.64488224262269,12.018715158571394,0.0
123,1724,day4,idm25_81A3,idm25_1,idm25,1.0,112.350107370068,9.150889282181662,0.0
124,1725,day4,idm25_81A3,idm25_1,idm25,1.0,113.0760587629863,6.18201215151711,0.0
125,1726,day4,idm25_81A3,idm25_1,idm25,1.0,113.7455115685096,3.1517237844363835,0.0
126,1727,day4,idm25_81A3,idm25_1,idm25,1.0,114.40423341138926,0.0110384416414163,0.0
127,1728,day4,idm25_81A3,idm25_1,idm25,1.0,115.05109403493866,-2.7883362543723686,0.0
128,1729,day4,idm25_81A3,idm25_1,idm25,1.0,114.79176488415948,-5.636517103051438,0.0
129,1730,day4,idm25_81A3,idm25_1,idm25,1.0,114.54883654364224,-8.38434678380306,0.0
130,1731,day4,idm25_81A3,idm25_1,idm25,1.0,114.2799962698939,-8.435092817640454,0.0
131,1732,day4,idm25_81A3,idm25_1,idm25,1.0,114.02027209051724,-8.61923299129155,0.0
132,1733,day4,idm25_81A3,idm25_1,idm25,1.0,113.7433661099138,-8.54389987349619,0.0
133,1734,day4,idm25_81A3,idm25_1,idm25,1.0,113.45694188287467,-8.36852562665718,0.0
134,1735,day4,idm25_81A3,idm25_1,idm25,1.0,113.14869523997018,-8.116154633557526,0.0
135,1736,day4,idm25_81A3,idm25_1,idm25,1.0,112.89364923532824,-7.827380960272309,0.0
136,1737,day4,idm25_81A3,idm25_1,idm25,1.0,112.60585341719164,-7.399473928522471,0.0
137,1738,day4,idm25_81A3,idm25_1,idm25,1.0,112.33863794139587,-7.07541674695855,0.0
138,1739,day4,idm25_81A3,idm25_1,idm25,1.0,112.05954699933686,-6.485264712993311,0.0
139,1740,day4,idm25_81A3,idm25_1,idm25,1.0,111.75362260651524,-5.955942718349425,0.0
140,1741,day4,idm25_81A3,idm25_1,idm25,1.0,111.50303589190985,-5.321779830612238,0.0
141,1742,day4,idm25_81A3,idm25_1,idm25,1.0,111.281503854443,-4.585616480809525,0.0
142,1743,day4,idm25_81A3,idm25_1,idm25,1.0,111.07231613685346,-4.064295641645193,0.0
143,1744,day4,idm25_81A3,idm25_1,idm25,1.0,110.86977655628316,-3.702412913027826,0.0
144,1745,day4,idm25_81A3,idm25_1,idm25,1.0,110.69576840185678,-3.3759701813387863,0.0
145,1746,day4,idm25_81A3,idm25_1,idm25,1.0,110.54261128149868,-3.052067737642949,0.0
146,1747,day4,idm25_81A3,idm25_1,idm25,1.0,110.45049708844496,-2.8457060222001416,0.0
147,1748,day4,idm25_81A3,idm25_1,idm25,1.0,110.36006662383951,-2.686793661804546,0.0
148,1749,day4,idm25_81A3,idm25_1,idm25,1.0,110.29201550066314,-2.714059039464542,0.0
149,1750,day4,idm25_81A3,idm25_1,idm25,1.0,110.232833740882,-2.744562328164509,0.0
150,1751,day4,idm25_81A3,idm25_1,idm25,1.0,110.15856706937998,-2.837420380186884,0.0
151,1752,day4,idm25_81A3,idm25_1,idm25,1.0,110.05805366172083,-2.9937876237431773,0.0
152,1753,day4,idm25_81A3,idm25_1,idm25,1.0,109.95913591056036,-3.069179799308841,0.0
153,1754,day4,idm25_81A3,idm25_1,idm25,1.0,109.8660788295756,-2.969224525857782,0.0
154,1755,day4,idm25_81A3,idm25_1,idm25,1.0,109.76119290865384,-2.8541426737510087,0.0
155,1756,day4,idm25_81A3,idm25_1,idm25,1.0,109.6606885672248,-2.794090811464053,0.0
156,1757,day4,idm25_81A3,idm25_1,idm25,1.0,109.5591998922414,-2.7158186020832,0.0
157,1758,day4,idm25_81A3,idm25_1,idm25,1.0,109.45735763428384,-2.682204876204305,0.0
158,1759,day4,idm25_81A3,idm25_1,idm25,1.0,109.3600912321784,-2.629356123150102,0.0
159,1760,day4,idm25_81A3,idm25_1,idm25,1.0,109.2485999150365,-2.582518263573041,0.0
160,1761,day4,idm25_81A3,idm25_1,idm25,1.0,109.15240591843504,-2.542188459601939,0.0
161,1762,day4,idm25_81A3,idm25_1,idm25,1.0,109.08972329865716,-2.397698186560249,0.0
162,1763,day4,idm25_81A3,idm25_1,idm25,1.0,109.03214496642904,-2.2929274187268653,0.0
163,1764,day4,idm25_81A3,idm25_1,idm25,1.0,108.9602238581731,-2.309203240018599,0.0
164,1765,day4,idm25_81A3,idm25_1,idm25,1.0,108.88866928464856,-2.3460737783012746,0.0
165,1766,day4,idm25_81A3,idm25_1,idm25,1.0,108.8163719278432,-2.307235773018804,0.0
166,1767,day4,idm25_81A3,idm25_1,idm25,1.0,108.74635408032164,-2.1922412648848946,0.0
167,1768,day4,idm25_81A3,idm25_1,idm25,1.0,108.66828736322944,-2.025672453453368,0.0
168,1769,day4,idm25_81A3,idm25_1,idm25,1.0,108.58887172061506,-1.8421102695838087,0.0
169,1770,day4,idm25_81A3,idm25_1,idm25,1.0,108.53262223868538,-1.5863540784015586,0.0
170,1771,day4,idm25_81A3,idm25_1,idm25,1.0,108.4707329140418,-1.3128820524205715,0.0
171,1772,day4,idm25_81A3,idm25_1,idm25,1.0,108.40231007543105,-1.072480298511826,0.0
172,1773,day4,idm25_81A3,idm25_1,idm25,1.0,108.33570760630803,-0.788121249744047,0.0
173,1774,day4,idm25_81A3,idm25_1,idm25,1.0,108.2859767438246,-0.4883732413271663,0.0
174,1775,day4,idm25_81A3,idm25_1,idm25,1.0,108.25343674879808,-0.1909828820694205,0.0
175,1776,day4,idm25_81A3,idm25_1,idm25,1.0,108.21968576446454,0.0478444309975785,0.0
176,1777,day4,idm25_81A3,idm25_1,idm25,1.0,108.19691204202586,0.2185717745862169,0.0
177,1778,day4,idm25_81A3,idm25_1,idm25,1.0,108.19591151877486,0.4071707799881076,0.0
178,1779,day4,idm25_81A3,idm25_1,idm25,1.0,108.19602355147546,0.5991172252341755,0.0
179,1780,day4,idm25_81A3,idm25_1,idm25,1.0,108.20965398085212,0.4817425737242095,0.0
180,1781,day4,idm25_81A3,idm25_1,idm25,1.0,108.23647512744527,0.3459572219038017,0.0
181,1782,day4,idm25_81A3,idm25_1,idm25,1.0,108.26209046543435,0.1912527082692392,0.0
182,1783,day4,idm25_81A3,idm25_1,idm25,1.0,108.2865310790368,-0.0043138092047262,0.0
183,1784,day4,idm25_81A3,idm25_1,idm25,1.0,108.30438960958222,-0.1827293501875285,0.0
184,1785,day4,idm25_81A3,idm25_1,idm25,1.0,108.31102414725628,-0.3564944925487082,0.0
185,1786,day4,idm25_81A3,idm25_1,idm25,1.0,108.32073537487568,-0.3629496292313927,0.0
186,1787,day4,idm25_81A3,idm25_1,idm25,1.0,108.32441043600797,-0.415520891068929,0.0
187,1788,day4,idm25_81A3,idm25_1,idm25,1.0,108.3209529643982,-0.5719577107656241,0.0
188,1789,day4,idm25_81A3,idm25_1,idm25,1.0,108.31435210129312,-0.8090830678718326,0.0
189,1790,day4,idm25_81A3,idm25_1,idm25,1.0,108.30708033716014,-0.8078099923551939,0.0
190,1791,day4,idm25_81A3,idm25_1,idm25,1.0,108.30071066292275,-0.8032408817290649,0.0
191,1792,day4,idm25_81A3,idm25_1,idm25,1.0,108.2907844361323,-0.7930015772776429,0.0
192,1793,day4,idm25_81A3,idm25_1,idm25,1.0,108.28113926247514,-0.7835623037394425,0.0
193,1794,day4,idm25_81A3,idm25_1,idm25,1.0,108.2865278410975,-0.7816282021108447,0.0
194,1795,day4,idm25_81A3,idm25_1,idm25,1.0,108.2851141567888,-0.7899095984167774,0.0
195,1796,day4,idm25_81A3,idm25_1,idm25,1.0,108.2681583637268,-0.9578082406927712,0.0
196,1797,day4,idm25_81A3,idm25_1,idm25,1.0,108.24537881299736,-1.0382276282187173,0.0
197,1798,day4,idm25_81A3,idm25_1,idm25,1.0,108.21982499585545,-1.0012521780920802,0.0
198,1799,day4,idm25_81A3,idm25_1,idm25,1.0,108.19577811567474,-0.9146669806122584,0.0
199,1800,day4,idm25_81A3,idm25_1,idm25,1.0,108.17094959694133,-0.7706219144852738,0.0
200,1801,day4,idm25_81A3,idm25_1,idm25,1.0,108.14229059598806,-0.632827740688399,0.0
201,1802,day4,idm25_81A3,idm25_1,idm25,1.0,108.114832222936,-0.5489752965789558,0.0
202,1803,day4,idm25_81A3,idm25_1,idm25,1.0,108.0860365809433,-0.42008010215339,0.0
203,1804,day4,idm25_81A3,idm25_1,idm25,1.0,108.04607976210214,-0.2365814212887556,0.0
204,1805,day4,idm25_81A3,idm25_1,idm25,1.0,108.01794595490716,-0.0046650447895089,0.0
205,1806,day4,idm25_81A3,idm25_1,idm25,1.0,108.00909990467508,0.2796830071569857,0.0
206,1807,day4,idm25_81A3,idm25_1,idm25,1.0,108.0048426620524,0.5319107818139823,0.0
207,1808,day4,idm25_81A3,idm25_1,idm25,1.0,108.00503952876326,0.7048146688796978,0.0
208,1809,day4,idm25_81A3,idm25_1,idm25,1.0,108.00669411575764,0.8561082853701258,0.0
209,1810,day4,idm25_81A3,idm25_1,idm25,1.0,108.00390560241216,0.9380020393938788,0.0
