,Unnamed: 0.1,Unnamed: 0,training day,DoB,exp_date,exp_name,mice_id,gender,total_trial,time_stim_begin,num_stim,num_enter,contrast,distance,comment,num_exp,exp_starttime,timestamp,latency_to_maxSpeed,fled_allover_duration,mean_speed,max_instance_speed2safezone,max_instance_speed2water,max_instance_speed_before,mean_speed_before,speed_var_before,pause_times_before,coefficiency_speed,index_max_frequency,duration_high_speed,longest_immobile_duration,first_immobile_start,total_immobile_duration,x_loc_looming,x_loc_off,x_loc_end,x_loc_exit,x_loc_distance_duration_high_speed,x_loc_fled_end,exit_idx,enter_idx,trial_end_idx,back_to_track_idx,duration_reward,furthest_loc,furthest_idx,nearest_back_loc,nearest_back_idx,furthest_loc_after_esc,nearest_back_loc_after_esc,reach_safe_idx,neck_nose_angle_at_looming,tailbase_nose_angle_at_looming,x_loc_immobile,max_speedS,nPeriodS,speed_fold,escape_distance,escape_max_acc,escape_acc_var,nPeriodW,durationsM,sum_duration_lsM,latency_to_first_escape,back_idx_after_flee,fastest_escape_start,freeze_start,first_freeze_duration,freeze_end,duration_between_escape_and_freeze,binary_occasion,trial_recheck,idm_id,trial_index,manual_label,stim_omit,unsure,comment_y,isDefensive,whichDecision_new,ignore_probability,escape_probability,freeze_probability,freeze_escape_probability,x_loc_off_to_sz,x_loc_end_to_sz,x_loc_exit_to_sz,x_loc_change,distance_under_threat,distance_fled_new,exit_time_after_looming,end_time_after_looming,reach_safe_time_after_looming,escape_to_reach_safe_time,decision_latency,first_decision,decision_latency_new,condition,risk,reward,decision_corrected,decision_score,up_attention_bouts,drinking,change_trial,phase,speed_explore_25-50_mean,speed_explore_25-50_skewness,speed_explore_25-50_kurtosis,speed_explore_25-100_mean,speed_explore_25-100_skewness,speed_explore_25-100_kurtosis
10,10,4386,day3,20240511,20240719,test,idm38_9053,male,27,10:41:33,1,1,0.25,0.192572212,,1,,2024_07_19_10_41_33_914072,2.5,2.133333333,4.85828863,72.35431079,22.012391,-42.21017936,-9.434800171,299.6796672,0,2.325164486,3,0.666666667,0.7,4.6,3.466666667,18.72133841,112.4553061,112.1638099,114.3255092,45.13213868,109.1445617,900,0,438,-2,1.433333333,112.6505655,458,111.9399816,572,112.2050017,111.9399816,412,-170.1642159,-172.7340415,113.9051374,47.48873697,1,-1.531233239,101.4448361,-0.11825855,0.321799239,4,0.0,0.0,1.866666667,21.0,1.866666667,20.0,,,,0,27,idm38,idm38_27,3.0,,,,1.0,3.0,0.018519657,0.00270395,0.00094339,0.977833003,-12.45530608,-12.16380994,-14.32550918,93.44247153,93.73396767,90.42322328,20.0,4.6,3.733333333,1.866666667,1.866666667,1,20.0,sucrose_low,low,sucrose,3,2,0,,6,1,29.59525303,-0.672310803,-1.14325562,27.512486525858122,-0.5818921074588387,-1.0323952495246014
11,11,4387,day3,20240511,20240719,test,idm38_9053,male,28,10:44:48,2,2,0.25,0.197050672,,1,,2024_07_19_10_44_48_062507,4.066666667,2.033333333,7.838345641,77.01616291,12.50847571,-34.16161311,-15.14360769,94.48048393,1,1.86150468,1,0.6,0.533333333,1.766666667,1.7,21.11245169,115.3483569,115.3593284,116.7918929,42.54848094,110.946258,672,90,494,-2,3.133333333,115.3828902,510,112.7620192,643,115.3618851,112.7620192,458,166.3176382,179.2353576,115.4247866,49.54584834,1,-2.053857228,102.2981705,-0.102494844,0.479106335,8,0.533333333,0.533333333,3.6,21.0,3.6,2.833333333,0.533333333,3.366666667,0.233333333,0,28,idm38,idm38_28,3.0,,,,1.0,3.0,0.020102315,0.00673305,0.00078247,0.972382164,-15.34835694,-15.35932837,-16.79189289,94.24687668,94.23590525,89.83380629,12.4,6.466666667,5.266666667,1.666666667,2.833333333,2,2.833333333,sucrose_low,low,sucrose,3,2,0,,6,1,22.46380421,-0.808140107,-0.156137637,18.215004330434198,0.02790210097840203,-1.3308298625688575
12,12,4388,day3,20240511,20240719,test,idm38_9053,male,29,10:46:31,3,3,0.25,0.197050672,,1,,2024_07_19_10_46_31_072582,18.4,1.2,0.831119532,20.39282726,24.36570245,-40.81657666,-7.256068533,233.7155452,1,2.038432205,6,0.3,3.133333333,1.633333333,7.333333333,19.41209659,8.441400746,35.470975,35.470975,5.398373389,33.2949141,900,0,900,-1,17.63333333,19.41209659,300,7.326531205,743,35.53838933,35.470975,900,-177.9692312,176.5688531,8.702871388,15.23919493,1,-0.555727989,18.44017478,-0.057164078,0.027779954,6,0.933333333,2.6,17.83333333,21.0,17.83333333,7.3,0.933333333,11.6,6.233333333,1,29,idm38,idm38_29,0.0,,,,0.0,0.0,0.700153905,0.0,0.285514497,0.014331599,91.55859925,64.529025,64.529025,16.05887842,-10.97069584,13.88281752,20.0,20.0,20.0,2.166666667,7.3,2,,sucrose_low,low,sucrose,0,0,2,,6,1,14.20649574,0.050765505,-1.753765107,18.703281133159784,-0.11109672003084138,-1.476332467578613
13,13,4389,day3,20240511,20240719,test,idm38_9053,male,30,10:48:16,4,3,0.25,0.197050672,,1,,2024_07_19_10_48_16_813520,2.366666667,1.5,2.939995555,82.64866947,21.22742972,-29.08068242,0.251649953,175.2259579,1,2.385432828,2,0.5,1.266666667,0.5,4.4,18.60844895,113.6654729,113.2010307,79.49903035,37.57149953,110.1711601,900,0,411,837,0.0,114.6024834,498,79.49903035,899,113.2037532,79.49903035,393,174.9845107,176.6959974,113.2072527,61.08009111,1,-3.360676711,94.1467218,-0.200205594,0.308563967,4,0.0,0.0,1.866666667,21.0,1.866666667,20.0,,,,0,30,idm38,idm38_30,3.0,,,,1.0,3.0,0.021107426,0.036897577,0.001182695,0.940812302,-13.66547295,-13.2010307,20.50096965,94.59258175,95.057024,91.56271111,20.0,3.7,3.1,1.233333333,1.866666667,1,20.0,sucrose_low,low,sucrose,3,2,3,,6,1,18.57882723,-0.695952047,0.283301034,15.644494662531011,-0.023509891994826306,-0.8045767204676797
14,14,4390,day3,20240511,20240719,test,idm38_9053,male,31,10:52:10,5,5,0.25,0.192572212,,1,,2024_07_19_10_52_10_599170,4.633333333,2.033333333,2.000699095,70.3377523,34.09500679,-52.02386425,-15.29445,194.9207413,1,1.731813171,1,0.333333333,0.7,0.533333333,3.233333333,17.74950217,115.6266462,115.5146446,58.79119414,20.56817972,108.6995108,900,108,518,591,4.266666667,115.6503129,535,58.77854826,842,115.382455,58.77854826,479,-163.7153263,-168.0092541,90.0695192,47.28971449,1,-1.321199739,98.25970074,-0.059952441,0.260223525,8,0.0,0.0,4.2,21.0,4.2,20.0,,,,0,31,idm38,idm38_31,3.0,,,,1.0,3.0,0.042576922,0.008592839,0.00244339,0.946386849,-15.62664617,-15.51464455,41.20880586,97.76514239,97.877144,90.95000865,20.0,7.266666667,5.966666667,1.766666667,4.2,1,20.0,sucrose_low,low,sucrose,3,2,2,,6,1,47.31195082,-0.644914732,-0.801697555,18.444193844568616,0.7560071893988363,-0.22995542636621913
15,15,4391,day3,20240511,20240719,test,idm38_9053,male,32,10:55:37,6,7,0.25,0.192572212,,1,,2024_07_19_10_55_37_595733,9.466666667,6.1,5.263339833,57.43468962,29.27264719,-56.75983687,-13.48945907,260.0986894,2,1.664522014,0,0.366666667,2.066666667,1.033333333,3.6,17.59279853,30.56125857,111.0810728,116.5256544,18.41046288,109.7620069,872,80,716,-2,7.433333333,30.56125857,539,30.56125857,539,78.84054962,78.84054962,687,-177.2801643,-170.358774,7.734346344,34.95390768,3,-1.081673116,21.86453806,-0.073469534,0.229284083,6,1.433333333,2.733333333,7.3,21.0,7.3,1.1,1.433333333,6.1,1.2,1,32,idm38,idm38_32,0.0,,,,0.0,0.0,0.389980157,0.000366812,0.290107191,0.31954584,69.43874143,-11.08107282,-16.52565441,93.48827429,12.96846004,92.1692084,19.06666667,13.86666667,12.9,5.6,1.1,2,,sucrose_low,low,sucrose,0,0,0,,6,2,30.1156061,-0.196478599,-1.571124444,21.004174053394962,0.3949332655452134,-1.0059692638495925
16,16,4392,day3,20240511,20240719,test,idm38_9053,male,33,10:59:33,7,9,0.25,0.192572212,,1,,2024_07_19_10_59_33_217390,16.86666667,,0.049227274,10.86801974,19.04741065,-53.4016146,-14.72219706,217.0712385,1,1.920887514,3,0.133333333,4.233333333,6.766666667,5.766666667,18.82409166,7.881649837,20.30599579,20.30599579,1.229933195,,900,93,900,-1,18.5,18.82409166,300,6.220074601,744,,,900,-176.9578445,-174.4433659,7.933204631,0.0,0,,0.0,0.0,,0,1.166666667,1.166666667,20.0,-0.033333333,20.0,12.03333333,1.166666667,13.2,,0,33,idm38,idm38_33,0.0,,,,0.0,0.0,0.685290489,0.0,0.306793502,0.007916009,92.11835016,79.69400421,79.69400421,1.481904129,-10.94244182,,20.0,20.0,20.0,0.0,12.03333333,2,,sucrose_low,low,sucrose,0,0,1,,6,2,25.83647396,0.320683508,-1.597209403,23.965425996249174,0.18171941301438602,-0.5966595284886358
17,17,4393,day3,20240511,20240719,test,idm38_9053,male,34,11:03:22,8,10,0.25,0.197050672,,1,,2024_07_19_11_03_22_858197,5.266666667,4.366666667,-0.599294554,51.93621022,49.70470921,-43.0767871,-13.72362896,213.0040877,1,1.300851084,1,0.366666667,1.466666667,0.433333333,4.233333333,18.51576634,94.8995928,112.7538959,9.816016375,17.21721781,109.2325902,900,78,608,640,0.7,94.98704112,527,9.814156622,898,94.98704112,9.814156622,554,-148.0009805,-157.3959814,16.017096,31.73195658,2,-0.980551734,77.89778765,-0.063831627,0.094114858,4,1.3,1.866666667,4.666666667,12.7,4.666666667,1.833333333,0.566666667,4.4,0.266666667,0,34,idm38,idm38_34,3.0,,,,1.0,3.0,0.091742652,0.011079859,0.024874305,0.872303184,5.100407203,-12.75389589,90.18398362,94.23812955,76.38382646,90.71682391,20.0,10.26666667,8.466666667,3.8,1.833333333,2,1.833333333,sucrose_low,low,sucrose,3,2,0,,6,2,32.66791611,-0.515286889,-0.914552102,23.523576168924137,-0.39147123323080923,-1.595144652537642
18,18,4394,day3,20240511,20240719,test,idm38_9053,male,35,11:05:24,9,11,0.25,0.192572212,,1,,2024_07_19_11_05_24_296124,7.9,2.166666667,-0.116176308,55.18172897,42.65960377,-45.93401753,-9.21035482,184.504879,1,1.555035558,2,0.866666667,1.6,3.0,3.066666667,19.60398934,62.33825878,19.98737635,19.98737635,44.01225455,93.72171984,900,0,900,-1,6.7,62.33825878,539,19.76686594,854,97.36633239,19.76686594,900,168.9866668,168.1837645,97.93727011,40.43159,1,-1.533190624,88.64583351,-0.064726915,0.145852913,6,0.0,0.0,6.766666667,21.0,6.766666667,20.0,,,,1,35,idm38,idm38_35,3.0,,,,1.0,3.0,0.440466855,0.002915796,0.080873169,0.47574418,37.66174122,80.01262365,80.01262365,0.383387018,42.73426944,74.1177305,20.0,20.0,20.0,13.23333333,6.766666667,1,20.0,sucrose_low,low,sucrose,3,2,1,,6,2,36.87670248,-0.667582888,-0.928089118,12.955774077794455,0.9304275697653331,-0.7414280031859057
19,19,4395,day3,20240511,20240719,test,idm38_9053,male,36,11:07:55,10,12,0.25,0.197050672,,1,,2024_07_19_11_07_55_124538,10.06666667,2.433333333,5.987403965,58.84984256,14.54626261,-61.55919641,-12.72951419,230.0397352,1,1.853037003,1,0.633333333,2.433333333,1.0,3.5,18.84429252,10.51070746,113.8325959,117.5700453,34.72862733,110.7274614,796,55,665,-2,8.7,18.84429252,300,7.91210466,474,113.0873894,111.7768943,624,-149.8550102,-142.7923483,9.179495652,41.15996552,1,-1.292965204,101.5549503,-0.066962522,0.175529228,8,0.0,0.0,8.8,21.0,8.8,20.0,,,,1,36,idm38,idm38_36,3.0,,,,1.0,3.0,0.247735981,0.006335302,0.058172285,0.687756432,89.48929254,-13.83259595,-17.57004526,94.98830343,-8.333585056,91.88316884,16.53333333,12.16666667,10.8,2.0,8.8,1,20.0,sucrose_low,low,sucrose,3,2,2,,6,2,16.28822996,-0.093344457,-1.067085722,20.92216273992359,1.0531770912778604,-0.07120032176566404
