,d_8663_day1_explore,s_A7C3_day1_explore,d_8663_day2_explore,s_A7C3_day2_explore,d_8663_day3_explore,s_A7C3_day3_explore,d_8663_day4_test,s_A7C3_day4_test,d_8663_day5_test,s_A7C3_day5_test,d_8663_day7_aftermath,s_A7C3_day7_aftermath,d_8663_day8_aftermath,s_A7C3_day8_aftermath
total,17896.0,123068.0,52213.0,52771.0,35751.0,44955.0,21982.0,26334.0,22663.0,15488.0,20629.0,23129.0,29517.0,21611.0
entri_times,6.0,24.0,15.0,18.0,9.0,14.0,7.0,10.0,8.0,10.0,12.0,18.0,7.0,9.0
mean_entri_duration,2982.6666666666665,5127.833333333333,3480.866666666667,2931.722222222222,3972.3333333333335,3211.0714285714284,3140.285714285714,2633.4,2832.875,1548.8,1719.0833333333333,1284.9444444444443,4216.714285714285,2401.222222222222
risk_f_80,7337.0,56382.0,25750.0,30730.0,20781.0,33756.0,10926.0,14835.0,10600.0,8991.0,12332.0,12114.0,16059.0,11101.0
idx_risk_80,0.40997988377291017,0.4581369649299574,0.4931721984946278,0.5823274146785166,0.5812704539733154,0.7508842175508842,0.49704303521062687,0.5633401686033265,0.46772271985174074,0.5805139462809917,0.5977992146977555,0.5237580526611613,0.5440593556255717,0.5136735921521447
risk_f_90,5448.0,46950.0,21797.0,26603.0,16983.0,25235.0,9732.0,13179.0,8698.0,8065.0,10763.0,11128.0,11906.0,9802.0
idx_risk_90,0.30442556995976755,0.3814964084896155,0.4174630839063069,0.5041215819294689,0.47503566333808844,0.5613391168946724,0.4427258666181421,0.5004556846662109,0.38379737898777744,0.5207257231404959,0.5217412380629212,0.4811275887414069,0.40336077514652574,0.4535653139604831
risk_f_85,6888.0,54036.0,24513.0,29836.0,19628.0,32374.0,10566.0,13900.0,9372.0,8724.0,11784.0,11636.0,14649.0,10627.0
idx_risk_85,0.38489047831917744,0.43907433288913444,0.4694807806484975,0.5653862917132516,0.5490196078431373,0.720142364586809,0.4806659994540988,0.5278347383610541,0.4135374840047655,0.5632747933884298,0.5712346696398274,0.5030913571706516,0.49629027340176846,0.49174031743093793
