,d_87F3_day1_explore,s_A5F3_day1_explore,d_87F3_day2_explore,s_A5F3_day2_explore,d_87F3_day3_explore,s_A5F3_day3_explore,d_87F3_day4_test,s_A5F3_day4_test,d_87F3_day5_test,s_A5F3_day5_test
total,33936.0,35603.0,43703.0,52576.0,90920.0,78823.0,54035.0,44497.0,31379.0,35937.0
entri_times,19.0,10.0,16.0,18.0,19.0,17.0,19.0,12.0,20.0,17.0
mean_entri_duration,1786.1052631578948,3560.3,2731.4375,2920.8888888888887,4785.263157894737,4636.64705882353,2843.9473684210525,3708.0833333333335,1568.95,2113.9411764705883
risk_f_80,9983.0,13498.0,13945.0,25706.0,23821.0,34500.0,25159.0,29456.0,18706.0,21328.0
idx_risk_80,0.2941713814238567,0.379125354604949,0.31908564629430475,0.4889303104077906,0.2619995600527937,0.4376895068698223,0.4656056259831591,0.6619772119468729,0.5961311705280602,0.5934830397640315
risk_f_90,4320.0,3941.0,9347.0,19975.0,17782.0,26956.0,20569.0,25860.0,15569.0,18542.0
idx_risk_90,0.1272984441301273,0.11069291913602786,0.21387547765599615,0.37992620206938527,0.19557853057633084,0.3419814013676211,0.38066068289071897,0.5811627750185405,0.4961598521304057,0.5159584829006316
risk_f_85,8956.0,11704.0,11917.0,23965.0,21313.0,31276.0,22693.0,27746.0,17792.0,20352.0
idx_risk_85,0.2639085337105139,0.32873634244305255,0.27268150927853924,0.45581634205721244,0.23441487021557414,0.3967877396191467,0.41996853890996577,0.6235476548980831,0.5670034099238344,0.5663244010351448
